Game 86 | P1: 53 | P2: 8 | Moves: 9 | Time(ms): 528
Game 87 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 861
Game 88 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 665
Game 89 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 501
Game 90 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 515
Game 91 | P1: 44 | P2: 13 | Moves: 11 | Time(ms): 518
Game 92 | P1: 40 | P2: 28 | Moves: 77 | Time(ms): 5152
Game 93 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 817
Game 94 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 831
Game 95 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 822
Game 96 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 646
Game 97 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 650
Game 98 | P1: 31 | P2: 25 | Moves: 200 | Time(ms): 14604
Game 99 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 524
Game 100 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 508
Game 101 | P1: 44 | P2: 13 | Moves: 11 | Time(ms): 506
Game 102 | P1: 16 | P2: 54 | Moves: 10 | Time(ms): 353
Game 103 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 866
Game 104 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 522
Game 105 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 876
Game 106 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 537
Game 107 | P1: 34 | P2: 31 | Moves: 200 | Time(ms): 14372
Game 108 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 882
Game 109 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 508
Game 110 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 507
Game 111 | P1: 38 | P2: 26 | Moves: 200 | Time(ms): 13149
Game 112 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 511
Game 113 | P1: 41 | P2: 22 | Moves: 125 | Time(ms): 8674
Game 114 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 501
Game 115 | P1: 43 | P2: 17 | Moves: 11 | Time(ms): 512
Game 116 | P1: 37 | P2: 27 | Moves: 200 | Time(ms): 13832
Game 117 | P1: 57 | P2: 9 | Moves: 15 | Time(ms): 874
Game 118 | P1: 54 | P2: 7 | Moves: 13 | Time(ms): 707
