Game 87 | P1: 49 | P2: 4 | Moves: 7 | Time(ms): 135
Game 88 | P1: 52 | P2: 6 | Moves: 9 | Time(ms): 108
Game 89 | P1: 42 | P2: 11 | Moves: 11 | Time(ms): 150
Game 90 | P1: 61 | P2: 3 | Moves: 23 | Time(ms): 133
Game 91 | P1: 61 | P2: 4 | Moves: 11 | Time(ms): 154
Game 92 | P1: 63 | P2: 0 | Moves: 9 | Time(ms): 175
Game 93 | P1: 46 | P2: 0 | Moves: 7 | Time(ms): 143
Game 94 | P1: 60 | P2: 0 | Moves: 11 | Time(ms): 139
Game 95 | P1: 62 | P2: 0 | Moves: 7 | Time(ms): 124
Game 96 | P1: 63 | P2: 1 | Moves: 9 | Time(ms): 109
Game 97 | P1: 46 | P2: 1 | Moves: 7 | Time(ms): 138
Game 98 | P1: 40 | P2: 0 | Moves: 7 | Time(ms): 156
Game 99 | P1: 62 | P2: 0 | Moves: 9 | Time(ms): 177
Game 100 | P1: 52 | P2: 7 | Moves: 15 | Time(ms): 219
Game 101 | P1: 60 | P2: 3 | Moves: 11 | Time(ms): 161
Game 102 | P1: 49 | P2: 4 | Moves: 7 | Time(ms): 116
Game 103 | P1: 42 | P2: 19 | Moves: 7 | Time(ms): 126
Game 104 | P1: 45 | P2: 0 | Moves: 7 | Time(ms): 111
Game 105 | P1: 47 | P2: 8 | Moves: 9 | Time(ms): 162
Game 106 | P1: 46 | P2: 8 | Moves: 9 | Time(ms): 146
Game 107 | P1: 44 | P2: 16 | Moves: 15 | Time(ms): 172
Game 108 | P1: 48 | P2: 3 | Moves: 11 | Time(ms): 174
Game 109 | P1: 44 | P2: 21 | Moves: 15 | Time(ms): 138
Game 110 | P1: 61 | P2: 0 | Moves: 11 | Time(ms): 185
Game 111 | P1: 42 | P2: 0 | Moves: 7 | Time(ms): 125
Game 112 | P1: 61 | P2: 6 | Moves: 11 | Time(ms): 117
Game 113 | P1: 46 | P2: 0 | Moves: 7 | Time(ms): 144
Game 114 | P1: 65 | P2: 1 | Moves: 9 | Time(ms): 113
