Game 86 | P1: 27 | P2: 28 | Moves: 14 | Time(ms): 999
Game 87 | P1: 18 | P2: 45 | Moves: 10 | Time(ms): 734
Game 88 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 468
Game 89 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 937
Game 90 | P1: 35 | P2: 34 | Moves: 9 | Time(ms): 637
Game 91 | P1: 24 | P2: 36 | Moves: 14 | Time(ms): 910
Game 92 | P1: 33 | P2: 31 | Moves: 200 | Time(ms): 22771
Game 93 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 478
Game 94 | P1: 12 | P2: 51 | Moves: 10 | Time(ms): 823
Game 95 | P1: 12 | P2: 52 | Moves: 12 | Time(ms): 1061
Game 96 | P1: 21 | P2: 47 | Moves: 16 | Time(ms): 662
Game 97 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 464
Game 98 | P1: 24 | P2: 40 | Moves: 20 | Time(ms): 1536
Game 99 | P1: 24 | P2: 39 | Moves: 12 | Time(ms): 736
Game 100 | P1: 25 | P2: 32 | Moves: 200 | Time(ms): 21454
Game 101 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 855
Game 102 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 486
Game 103 | P1: 32 | P2: 36 | Moves: 24 | Time(ms): 2190
Game 104 | P1: 8 | P2: 49 | Moves: 8 | Time(ms): 716
Game 105 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 499
Game 106 | P1: 21 | P2: 47 | Moves: 16 | Time(ms): 654
Game 107 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 23554
Game 108 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 499
Game 109 | P1: 19 | P2: 45 | Moves: 18 | Time(ms): 1487
Game 110 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 481
Game 111 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 486
Game 112 | P1: 6 | P2: 58 | Moves: 12 | Time(ms): 1075
Game 113 | P1: 30 | P2: 36 | Moves: 200 | Time(ms): 22488
Game 114 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 504
Game 115 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 957
Game 116 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 475
Game 117 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 457
Game 118 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 866
Game 119 | P1: 6 | P2: 56 | Moves: 12 | Time(ms): 893
