Game 87 | P1: 56 | P2: 8 | Moves: 15 | Time(ms): 828
Game 88 | P1: 56 | P2: 8 | Moves: 7 | Time(ms): 386
Game 89 | P1: 41 | P2: 18 | Moves: 9 | Time(ms): 601
Game 90 | P1: 41 | P2: 0 | Moves: 7 | Time(ms): 444
Game 91 | P1: 50 | P2: 1 | Moves: 9 | Time(ms): 508
Game 92 | P1: 44 | P2: 1 | Moves: 11 | Time(ms): 430
Game 93 | P1: 55 | P2: 7 | Moves: 13 | Time(ms): 758
Game 94 | P1: 60 | P2: 3 | Moves: 15 | Time(ms): 525
Game 95 | P1: 56 | P2: 0 | Moves: 13 | Time(ms): 732
Game 96 | P1: 62 | P2: 8 | Moves: 7 | Time(ms): 346
Game 97 | P1: 60 | P2: 0 | Moves: 5 | Time(ms): 271
Game 98 | P1: 43 | P2: 0 | Moves: 7 | Time(ms): 435
Game 99 | P1: 44 | P2: 21 | Moves: 25 | Time(ms): 1737
Game 100 | P1: 44 | P2: 0 | Moves: 5 | Time(ms): 372
Game 101 | P1: 41 | P2: 26 | Moves: 11 | Time(ms): 487
Game 102 | P1: 53 | P2: 5 | Moves: 17 | Time(ms): 746
Game 103 | P1: 45 | P2: 19 | Moves: 53 | Time(ms): 4600
Game 104 | P1: 53 | P2: 5 | Moves: 9 | Time(ms): 577
Game 105 | P1: 31 | P2: 18 | Moves: 8 | Time(ms): 561
Game 106 | P1: 54 | P2: 3 | Moves: 11 | Time(ms): 554
Game 107 | P1: 49 | P2: 0 | Moves: 11 | Time(ms): 782
Game 108 | P1: 40 | P2: 28 | Moves: 97 | Time(ms): 9382
Game 109 | P1: 43 | P2: 4 | Moves: 9 | Time(ms): 508
Game 110 | P1: 54 | P2: 10 | Moves: 15 | Time(ms): 715
Game 111 | P1: 13 | P2: 57 | Moves: 6 | Time(ms): 315
Game 112 | P1: 46 | P2: 15 | Moves: 13 | Time(ms): 713
Game 113 | P1: 61 | P2: 0 | Moves: 11 | Time(ms): 593
Game 114 | P1: 60 | P2: 7 | Moves: 17 | Time(ms): 672
Game 115 | P1: 44 | P2: 22 | Moves: 23 | Time(ms): 1607
Game 116 | P1: 57 | P2: 5 | Moves: 9 | Time(ms): 519
Game 117 | P1: 62 | P2: 8 | Moves: 7 | Time(ms): 396
Game 118 | P1: 58 | P2: 3 | Moves: 9 | Time(ms): 575
Game 119 | P1: 44 | P2: 16 | Moves: 19 | Time(ms): 1182
Game 120 | P1: 63 | P2: 0 | Moves: 9 | Time(ms): 455
Game 121 | P1: 42 | P2: 0 | Moves: 5 | Time(ms): 321
Game 122 | P1: 52 | P2: 11 | Moves: 11 | Time(ms): 609
Game 123 | P1: 62 | P2: 4 | Moves: 13 | Time(ms): 532
Game 124 | P1: 60 | P2: 0 | Moves: 15 | Time(ms): 505
Game 125 | P1: 43 | P2: 16 | Moves: 23 | Time(ms): 1337
Game 126 | P1: 46 | P2: 18 | Moves: 13 | Time(ms): 466
Game 127 | P1: 47 | P2: 0 | Moves: 5 | Time(ms): 340
Game 128 | P1: 46 | P2: 14 | Moves: 33 | Time(ms): 2057
Game 129 | P1: 60 | P2: 1 | Moves: 11 | Time(ms): 624
Game 130 | P1: 63 | P2: 2 | Moves: 7 | Time(ms): 412
Game 131 | P1: 63 | P2: 1 | Moves: 9 | Time(ms): 353
Game 132 | P1: 61 | P2: 2 | Moves: 7 | Time(ms): 340
Game 133 | P1: 47 | P2: 0 | Moves: 9 | Time(ms): 533
Game 134 | P1: 62 | P2: 8 | Moves: 7 | Time(ms): 375
Game 135 | P1: 56 | P2: 5 | Moves: 11 | Time(ms): 609
Game 136 | P1: 55 | P2: 9 | Moves: 17 | Time(ms): 752
Game 137 | P1: 30 | P2: 21 | Moves: 6 | Time(ms): 315
Game 138 | P1: 42 | P2: 18 | Moves: 9 | Time(ms): 547
Game 139 | P1: 31 | P2: 0 | Moves: 8 | Time(ms): 354
Game 140 | P1: 64 | P2: 0 | Moves: 11 | Time(ms): 590
Game 141 | P1: 62 | P2: 8 | Moves: 7 | Time(ms): 351
Game 142 | P1: 56 | P2: 3 | Moves: 11 | Time(ms): 468
Game 143 | P1: 50 | P2: 5 | Moves: 11 | Time(ms): 714
Game 144 | P1: 61 | P2: 4 | Moves: 9 | Time(ms): 417
Game 145 | P1: 60 | P2: 0 | Moves: 5 | Time(ms): 257
Game 146 | P1: 46 | P2: 7 | Moves: 9 | Time(ms): 435
Game 147 | P1: 43 | P2: 15 | Moves: 33 | Time(ms): 2877
Game 148 | P1: 65 | P2: 1 | Moves: 15 | Time(ms): 609
Game 149 | P1: 44 | P2: 2 | Moves: 7 | Time(ms): 479
Game 150 | P1: 53 | P2: 8 | Moves: 7 | Time(ms): 459
Game 151 | P1: 30 | P2: 21 | Moves: 6 | Time(ms): 322
Game 152 | P1: 56 | P2: 8 | Moves: 13 | Time(ms): 746
Game 153 | P1: 48 | P2: 6 | Moves: 9 | Time(ms): 564
Game 154 | P1: 61 | P2: 8 | Moves: 7 | Time(ms): 332
Game 155 | P1: 61 | P2: 5 | Moves: 19 | Time(ms): 604
Game 156 | P1: 43 | P2: 0 | Moves: 7 | Time(ms): 537
Game 157 | P1: 62 | P2: 8 | Moves: 9 | Time(ms): 483
Game 158 | P1: 50 | P2: 2 | Moves: 11 | Time(ms): 750
Game 159 | P1: 69 | P2: 1 | Moves: 9 | Time(ms): 460
Game 160 | P1: 45 | P2: 17 | Moves: 15 | Time(ms): 643
Game 161 | P1: 56 | P2: 0 | Moves: 7 | Time(ms): 501
Game 162 | P1: 59 | P2: 0 | Moves: 15 | Time(ms): 691
Game 163 | P1: 42 | P2: 0 | Moves: 5 | Time(ms): 320
Game 164 | P1: 53 | P2: 0 | Moves: 9 | Time(ms): 468
Game 165 | P1: 56 | P2: 8 | Moves: 5 | Time(ms): 290
Game 166 | P1: 44 | P2: 21 | Moves: 25 | Time(ms): 1464
Game 167 | P1: 54 | P2: 0 | Moves: 9 | Time(ms): 541
Game 168 | P1: 41 | P2: 24 | Moves: 21 | Time(ms): 854
Game 169 | P1: 41 | P2: 26 | Moves: 11 | Time(ms): 447
Game 170 | P1: 41 | P2: 20 | Moves: 11 | Time(ms): 756
Game 171 | P1: 57 | P2: 8 | Moves: 9 | Time(ms): 461
Game 172 | P1: 57 | P2: 13 | Moves: 13 | Time(ms): 679
Game 173 | P1: 50 | P2: 2 | Moves: 5 | Time(ms): 281
Game 174 | P1: 52 | P2: 4 | Moves: 7 | Time(ms): 510
Game 175 | P1: 47 | P2: 1 | Moves: 9 | Time(ms): 695
Game 176 | P1: 44 | P2: 0 | Moves: 5 | Time(ms): 355
Game 177 | P1: 65 | P2: 3 | Moves: 7 | Time(ms): 307
Game 178 | P1: 53 | P2: 12 | Moves: 15 | Time(ms): 842
Game 179 | P1: 49 | P2: 1 | Moves: 9 | Time(ms): 448
Game 180 | P1: 58 | P2: 6 | Moves: 9 | Time(ms): 440
Game 181 | P1: 67 | P2: 3 | Moves: 9 | Time(ms): 527
Game 182 | P1: 68 | P2: 2 | Moves: 7 | Time(ms): 418
Game 183 | P1: 58 | P2: 2 | Moves: 13 | Time(ms): 565
Game 184 | P1: 63 | P2: 0 | Moves: 9 | Time(ms): 460
Game 185 | P1: 53 | P2: 2 | Moves: 7 | Time(ms): 371
Game 186 | P1: 58 | P2: 12 | Moves: 17 | Time(ms): 850
Game 187 | P1: 63 | P2: 6 | Moves: 9 | Time(ms): 396
Game 188 | P1: 54 | P2: 0 | Moves: 11 | Time(ms): 551
Game 189 | P1: 63 | P2: 0 | Moves: 7 | Time(ms): 448
Game 190 | P1: 62 | P2: 0 | Moves: 7 | Time(ms): 410
Game 191 | P1: 43 | P2: 3 | Moves: 5 | Time(ms): 380
Game 192 | P1: 55 | P2: 2 | Moves: 11 | Time(ms): 449
Game 193 | P1: 45 | P2: 15 | Moves: 37 | Time(ms): 2879
Game 194 | P1: 45 | P2: 18 | Moves: 21 | Time(ms): 1452
Game 195 | P1: 64 | P2: 3 | Moves: 7 | Time(ms): 297
Game 196 | P1: 13 | P2: 1 | Moves: 6 | Time(ms): 313
Game 197 | P1: 42 | P2: 19 | Moves: 15 | Time(ms): 807
Game 198 | P1: 52 | P2: 6 | Moves: 7 | Time(ms): 388
Game 199 | P1: 62 | P2: 1 | Moves: 11 | Time(ms): 683
Game 200 | P1: 47 | P2: 0 | Moves: 9 | Time(ms): 604
Game 201 | P1: 58 | P2: 6 | Moves: 9 | Time(ms): 457
Game 202 | P1: 41 | P2: 15 | Moves: 9 | Time(ms): 781
Game 203 | P1: 46 | P2: 0 | Moves: 7 | Time(ms): 578
Game 204 | P1: 48 | P2: 0 | Moves: 15 | Time(ms): 629
Game 205 | P1: 65 | P2: 5 | Moves: 11 | Time(ms): 531
Game 206 | P1: 56 | P2: 1 | Moves: 7 | Time(ms): 356
Game 207 | P1: 50 | P2: 14 | Moves: 9 | Time(ms): 597
Game 208 | P1: 41 | P2: 22 | Moves: 13 | Time(ms): 902
Game 209 | P1: 30 | P2: 3 | Moves: 6 | Time(ms): 377
Game 210 | P1: 43 | P2: 20 | Moves: 15 | Time(ms): 1194
Game 211 | P1: 53 | P2: 1 | Moves: 7 | Time(ms): 464
Game 212 | P1: 11 | P2: 59 | Moves: 8 | Time(ms): 502
Game 213 | P1: 41 | P2: 17 | Moves: 11 | Time(ms): 689
Game 214 | P1: 51 | P2: 0 | Moves: 9 | Time(ms): 396
Game 215 | P1: 43 | P2: 7 | Moves: 7 | Time(ms): 506
Game 216 | P1: 44 | P2: 21 | Moves: 19 | Time(ms): 1357
