Game 87 | P1: 22 | P2: 32 | Moves: 200 | Time(ms): 302
Game 88 | P1: 20 | P2: 42 | Moves: 22 | Time(ms): 239
Game 89 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 102
Game 90 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 99
Game 91 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 120
Game 92 | P1: 20 | P2: 42 | Moves: 22 | Time(ms): 230
Game 93 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 86
Game 94 | P1: 23 | P2: 36 | Moves: 200 | Time(ms): 475
Game 95 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 97
Game 96 | P1: 21 | P2: 45 | Moves: 16 | Time(ms): 210
Game 97 | P1: 28 | P2: 34 | Moves: 200 | Time(ms): 397
Game 98 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 193
Game 99 | P1: 17 | P2: 49 | Moves: 12 | Time(ms): 115
Game 100 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 92
Game 101 | P1: 14 | P2: 47 | Moves: 36 | Time(ms): 205
Game 102 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 97
Game 103 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 363
Game 104 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 99
Game 105 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 183
Game 106 | P1: 20 | P2: 36 | Moves: 200 | Time(ms): 465
Game 107 | P1: 22 | P2: 44 | Moves: 24 | Time(ms): 201
Game 108 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 375
Game 109 | P1: 27 | P2: 33 | Moves: 200 | Time(ms): 327
Game 110 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 108
Game 111 | P1: 20 | P2: 44 | Moves: 22 | Time(ms): 208
Game 112 | P1: 12 | P2: 51 | Moves: 18 | Time(ms): 132
Game 113 | P1: 12 | P2: 51 | Moves: 18 | Time(ms): 93
Game 114 | P1: 12 | P2: 48 | Moves: 14 | Time(ms): 204
Game 115 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 89
Game 116 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 85
Game 117 | P1: 13 | P2: 45 | Moves: 30 | Time(ms): 203
Game 118 | P1: 27 | P2: 29 | Moves: 200 | Time(ms): 464
Game 119 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 192
Game 120 | P1: 12 | P2: 51 | Moves: 16 | Time(ms): 193
Game 121 | P1: 28 | P2: 34 | Moves: 200 | Time(ms): 426
Game 122 | P1: 12 | P2: 48 | Moves: 14 | Time(ms): 216
Game 123 | P1: 19 | P2: 39 | Moves: 200 | Time(ms): 485
Game 124 | P1: 17 | P2: 49 | Moves: 12 | Time(ms): 106
Game 125 | P1: 11 | P2: 54 | Moves: 16 | Time(ms): 192
Game 126 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 84
Game 127 | P1: 12 | P2: 48 | Moves: 14 | Time(ms): 197
Game 128 | P1: 21 | P2: 45 | Moves: 16 | Time(ms): 203
Game 129 | P1: 20 | P2: 45 | Moves: 200 | Time(ms): 234
Game 130 | P1: 32 | P2: 32 | Moves: 200 | Time(ms): 398
Game 131 | P1: 31 | P2: 33 | Moves: 200 | Time(ms): 263
Game 132 | P1: 8 | P2: 51 | Moves: 12 | Time(ms): 416
Game 133 | P1: 17 | P2: 50 | Moves: 16 | Time(ms): 152
Game 134 | P1: 28 | P2: 33 | Moves: 200 | Time(ms): 600
Game 135 | P1: 16 | P2: 47 | Moves: 20 | Time(ms): 333
Game 136 | P1: 17 | P2: 50 | Moves: 12 | Time(ms): 101
Game 137 | P1: 16 | P2: 47 | Moves: 20 | Time(ms): 187
Game 138 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 106
Game 139 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 134
