Rounds per config: 400 (first player alternates every game)

Iters     C         Rollout   Eps       MCTS Win%   Rnd Win%    Draw%     AvgMoves    Avg ms      
4000      1.400     20        0.300     97.000      3.000       0.000     13.645      648.200     
4000      1.800     20        0.050     97.000      3.000       0.000     12.765      659.283     
4000      1.000     60        0.300     97.000      3.000       0.000     13.328      705.465     
2000      1.800     60        0.300     97.000      2.750       0.250     13.110      741.388     
4000      1.200     40        0.150     97.000      3.000       0.000     13.875      796.335     
4000      1.800     60        0.050     97.000      2.750       0.250     13.027      1112.760    
1000      1.400     40        0.300     96.750      2.750       0.500     12.770      292.473     
2000      1.000     20        0.050     96.750      3.250       0.000     12.812      295.805     
1000      1.200     60        0.050     96.750      3.250       0.000     12.357      312.442     
2000      1.200     40        0.050     96.750      3.250       0.000     12.460      420.015     
2000      1.200     40        0.300     96.750      3.250       0.000     13.210      497.070     
2000      1.400     40        0.150     96.750      3.000       0.250     12.700      506.623     
2000      1.000     60        0.150     96.750      3.250       0.000     13.553      521.688     
2000      1.200     60        0.050     96.750      3.000       0.250     12.947      550.737     
2000      1.800     40        0.150     96.750      3.250       0.000     12.623      603.595     
4000      1.000     40        0.150     96.750      3.250       0.000     14.505      804.942     
500       1.000     20        0.150     96.500      3.500       0.000     12.100      106.955     
500       1.200     40        0.150     96.500      3.500       0.000     13.127      163.752     
1000      1.200     40        0.150     96.500      3.500       0.000     12.455      270.655     
4000      1.000     20        0.150     96.500      3.250       0.250     13.967      505.070     
4000      1.200     20        0.300     96.500      3.250       0.250     13.543      543.115     
4000      1.800     20        0.150     96.500      3.250       0.250     12.668      650.947     
1000      1.000     20        0.150     96.250      3.000       0.750     13.215      198.827     
1000      1.400     20        0.050     96.250      3.500       0.250     12.707      221.535     
1000      1.400     60        0.300     96.250      3.750       0.000     13.008      347.965     
2000      1.400     20        0.050     96.250      3.750       0.000     12.440      357.733     
2000      1.000     60        0.050     96.250      3.750       0.000     12.277      423.705     
2000      1.800     20        0.150     96.250      3.750       0.000     12.418      432.060     
4000      1.400     40        0.050     96.250      3.750       0.000     12.255      703.192     
4000      1.800     40        0.150     96.250      3.250       0.500     12.245      811.658     
4000      1.800     40        0.050     96.250      3.750       0.000     12.995      935.133     
1000      1.200     20        0.150     96.000      4.000       0.000     12.943      210.970     
1000      1.000     40        0.050     96.000      4.000       0.000     11.922      231.340     
2000      1.400     60        0.300     96.000      3.500       0.500     12.885      643.247     
4000      1.400     20        0.150     96.000      3.250       0.750     14.270      670.005     
4000      1.400     40        0.300     96.000      3.750       0.250     13.180      808.232     
4000      1.400     40        0.150     96.000      3.750       0.250     13.207      825.798     
4000      1.400     60        0.300     96.000      3.750       0.250     13.325      945.352     
4000      1.400     60        0.150     96.000      4.000       0.000     13.600      1008.605    
4000      1.800     60        0.300     96.000      4.000       0.000     13.145      1088.007    
4000      1.000     20        0.300     95.750      4.250       0.000     14.055      524.783     
4000      1.400     20        0.050     95.750      4.000       0.250     13.300      603.867     
2000      1.400     60        0.050     95.750      3.750       0.500     12.990      621.445     
4000      1.800     40        0.300     95.750      4.250       0.000     12.277      837.915     
4000      1.200     40        0.050     95.500      4.250       0.250     12.290      627.827     
2000      1.000     20        0.300     95.250      4.500       0.250     12.543      278.007     
2000      1.200     20        0.300     95.250      4.000       0.750     12.703      321.465     
4000      1.400     60        0.050     95.250      4.250       0.500     13.988      1039.352    
2000      1.200     60        0.300     95.000      4.750       0.250     13.645      570.773     
500       1.000     40        0.150     94.500      5.250       0.250     12.598      148.365     
4000      1.200     20        0.150     94.500      5.250       0.250     13.432      543.235     
4000      1.800     20        0.300     94.250      5.500       0.250     13.525      719.857     
