Game 86 | P1: 19 | P2: 47 | Moves: 16 | Time(ms): 1551
Game 87 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 547
Game 88 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 1046
Game 89 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 942
Game 90 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 958
Game 91 | P1: 36 | P2: 29 | Moves: 21 | Time(ms): 2825
Game 92 | P1: 13 | P2: 43 | Moves: 16 | Time(ms): 1524
Game 93 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 624
Game 94 | P1: 31 | P2: 32 | Moves: 200 | Time(ms): 34762
Game 95 | P1: 33 | P2: 24 | Moves: 8 | Time(ms): 721
Game 96 | P1: 32 | P2: 32 | Moves: 200 | Time(ms): 25470
Game 97 | P1: 22 | P2: 41 | Moves: 28 | Time(ms): 2717
Game 98 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 853
Game 99 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 662
Game 100 | P1: 31 | P2: 31 | Moves: 200 | Time(ms): 30854
Game 101 | P1: 35 | P2: 32 | Moves: 16 | Time(ms): 1446
Game 102 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1030
Game 103 | P1: 32 | P2: 38 | Moves: 16 | Time(ms): 2060
Game 104 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 717
Game 105 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1234
Game 106 | P1: 18 | P2: 44 | Moves: 10 | Time(ms): 714
Game 107 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 734
Game 108 | P1: 42 | P2: 6 | Moves: 9 | Time(ms): 1044
Game 109 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 766
Game 110 | P1: 31 | P2: 33 | Moves: 200 | Time(ms): 33328
Game 111 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1022
Game 112 | P1: 15 | P2: 48 | Moves: 12 | Time(ms): 868
Game 113 | P1: 22 | P2: 41 | Moves: 86 | Time(ms): 14436
Game 114 | P1: 40 | P2: 30 | Moves: 49 | Time(ms): 6581
Game 115 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 762
Game 116 | P1: 48 | P2: 22 | Moves: 45 | Time(ms): 7285
Game 117 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 909
Game 118 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1023
Game 119 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 913
Game 120 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1065
Game 121 | P1: 14 | P2: 45 | Moves: 12 | Time(ms): 968
Game 122 | P1: 15 | P2: 55 | Moves: 16 | Time(ms): 1469
Game 123 | P1: 25 | P2: 36 | Moves: 200 | Time(ms): 23982
Game 124 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1266
Game 125 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 528
Game 126 | P1: 19 | P2: 41 | Moves: 50 | Time(ms): 7832
Game 127 | P1: 17 | P2: 45 | Moves: 8 | Time(ms): 854
Game 128 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 776
Game 129 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 869
Game 130 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1073
Game 131 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 607
Game 132 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1028
Game 133 | P1: 15 | P2: 48 | Moves: 12 | Time(ms): 787
Game 134 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 516
Game 135 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 552
Game 136 | P1: 17 | P2: 44 | Moves: 66 | Time(ms): 11037
Game 137 | P1: 34 | P2: 25 | Moves: 200 | Time(ms): 37367
Game 138 | P1: 41 | P2: 16 | Moves: 95 | Time(ms): 19959
Game 139 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 721
Game 140 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 985
Game 141 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 764
Game 142 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 883
Game 143 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 761
Game 144 | P1: 59 | P2: 6 | Moves: 11 | Time(ms): 999
Game 145 | P1: 32 | P2: 34 | Moves: 16 | Time(ms): 1317
Game 146 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 789
Game 147 | P1: 41 | P2: 7 | Moves: 7 | Time(ms): 767
Game 148 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1095
Game 149 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 736
Game 150 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 924
Game 151 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1053
Game 152 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1065
Game 153 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1016
Game 154 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 752
Game 155 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1279
Game 156 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 1364
Game 157 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 892
Game 158 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 977
Game 159 | P1: 25 | P2: 26 | Moves: 8 | Time(ms): 1150
Game 160 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1502
Game 161 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1242
Game 162 | P1: 28 | P2: 32 | Moves: 200 | Time(ms): 36537
Game 163 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 804
Game 164 | P1: 17 | P2: 45 | Moves: 8 | Time(ms): 909
Game 165 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1750
Game 166 | P1: 27 | P2: 32 | Moves: 200 | Time(ms): 26204
Game 167 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 778
Game 168 | P1: 18 | P2: 50 | Moves: 8 | Time(ms): 720
Game 169 | P1: 65 | P2: 3 | Moves: 9 | Time(ms): 1128
Game 170 | P1: 14 | P2: 54 | Moves: 12 | Time(ms): 919
Game 171 | P1: 33 | P2: 32 | Moves: 10 | Time(ms): 768
Game 172 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 529
Game 173 | P1: 17 | P2: 42 | Moves: 10 | Time(ms): 849
Game 174 | P1: 20 | P2: 42 | Moves: 12 | Time(ms): 1150
Game 175 | P1: 58 | P2: 4 | Moves: 9 | Time(ms): 1435
Game 176 | P1: 18 | P2: 50 | Moves: 8 | Time(ms): 1089
Game 177 | P1: 17 | P2: 46 | Moves: 8 | Time(ms): 575
