Game 87 | P1: 25 | P2: 40 | Moves: 14 | Time(ms): 1014
Game 88 | P1: 2 | P2: 65 | Moves: 12 | Time(ms): 938
Game 89 | P1: 2 | P2: 60 | Moves: 12 | Time(ms): 447
Game 90 | P1: 3 | P2: 46 | Moves: 10 | Time(ms): 788
Game 91 | P1: 13 | P2: 42 | Moves: 10 | Time(ms): 959
Game 92 | P1: 3 | P2: 54 | Moves: 8 | Time(ms): 266
Game 93 | P1: 15 | P2: 55 | Moves: 10 | Time(ms): 450
Game 94 | P1: 32 | P2: 32 | Moves: 11 | Time(ms): 529
Game 95 | P1: 40 | P2: 25 | Moves: 19 | Time(ms): 860
Game 96 | P1: 2 | P2: 61 | Moves: 16 | Time(ms): 724
Game 97 | P1: 8 | P2: 49 | Moves: 8 | Time(ms): 501
Game 98 | P1: 20 | P2: 45 | Moves: 30 | Time(ms): 2430
Game 99 | P1: 0 | P2: 70 | Moves: 6 | Time(ms): 161
Game 100 | P1: 6 | P2: 64 | Moves: 6 | Time(ms): 172
Game 101 | P1: 21 | P2: 36 | Moves: 10 | Time(ms): 337
Game 102 | P1: 14 | P2: 56 | Moves: 8 | Time(ms): 515
Game 103 | P1: 5 | P2: 56 | Moves: 16 | Time(ms): 1240
Game 104 | P1: 15 | P2: 52 | Moves: 6 | Time(ms): 191
Game 105 | P1: 6 | P2: 64 | Moves: 6 | Time(ms): 227
Game 106 | P1: 6 | P2: 64 | Moves: 6 | Time(ms): 180
Game 107 | P1: 17 | P2: 43 | Moves: 12 | Time(ms): 752
Game 108 | P1: 16 | P2: 54 | Moves: 10 | Time(ms): 1052
Game 109 | P1: 0 | P2: 11 | Moves: 7 | Time(ms): 221
Game 110 | P1: 2 | P2: 21 | Moves: 5 | Time(ms): 156
Game 111 | P1: 1 | P2: 48 | Moves: 14 | Time(ms): 462
Game 112 | P1: 10 | P2: 55 | Moves: 8 | Time(ms): 562
Game 113 | P1: 12 | P2: 58 | Moves: 12 | Time(ms): 523
Game 114 | P1: 8 | P2: 56 | Moves: 12 | Time(ms): 679
Game 115 | P1: 20 | P2: 45 | Moves: 24 | Time(ms): 2211
Game 116 | P1: 22 | P2: 43 | Moves: 10 | Time(ms): 586
Game 117 | P1: 24 | P2: 39 | Moves: 20 | Time(ms): 1601
Game 118 | P1: 11 | P2: 53 | Moves: 54 | Time(ms): 3558
Game 119 | P1: 0 | P2: 41 | Moves: 8 | Time(ms): 275
Game 120 | P1: 21 | P2: 45 | Moves: 84 | Time(ms): 6442
Game 121 | P1: 24 | P2: 42 | Moves: 24 | Time(ms): 2372
Game 122 | P1: 6 | P2: 55 | Moves: 10 | Time(ms): 360
Game 123 | P1: 7 | P2: 49 | Moves: 10 | Time(ms): 527
Game 124 | P1: 1 | P2: 44 | Moves: 6 | Time(ms): 353
Game 125 | P1: 10 | P2: 56 | Moves: 10 | Time(ms): 565
Game 126 | P1: 17 | P2: 46 | Moves: 10 | Time(ms): 642
Game 127 | P1: 18 | P2: 41 | Moves: 18 | Time(ms): 1098
Game 128 | P1: 3 | P2: 57 | Moves: 10 | Time(ms): 604
Game 129 | P1: 3 | P2: 65 | Moves: 14 | Time(ms): 959
Game 130 | P1: 20 | P2: 46 | Moves: 14 | Time(ms): 843
Game 131 | P1: 24 | P2: 24 | Moves: 7 | Time(ms): 253
Game 132 | P1: 10 | P2: 53 | Moves: 8 | Time(ms): 557
Game 133 | P1: 10 | P2: 51 | Moves: 16 | Time(ms): 835
Game 134 | P1: 8 | P2: 57 | Moves: 10 | Time(ms): 296
